,nom,etablissement,Date,prix
0,Tout va bien se passer,Comédie Saint-Martin,<b>Du 9 octobre 2023 au 31 mars 2024</b>,variable
1,L'Embarras du choix,Théâtre de la Gaîté-Montparnasse,<b>Du 7 janvier 2022 au 30 juin 2024</b>,variable
2,Chers parents,Théâtre de Paris,<b>Du 11 octobre 2023 au 25 février 2024</b>,variable
3,Dernier coup de ciseaux,Théâtre des Mathurins,<b>Du 9 juin 2021 au 18 mai 2024</b>,variable
4,Edmond,Théâtre du Palais-Royal,<b>Du 17 août 2023 au 15 juin 2024</b>,variable
5,La Maison du loup,Théâtre Rive Gauche,<b>Du 14 septembre 2023 au 31 mars 2024</b>,variable
6,"C'est décidé, je deviens une connasse !",Comédie Oberkampf,<b>Du 15 septembre 2023 au 5 mai 2024</b>,variable
7,Notre vie dans l'Art,Théâtre du Soleil - Cartoucherie,<b>Du 6 décembre 2023 au 3 mars 2024</b>,variable
8,Une idée géniale,Théâtre Michel,<b>Du 19 août 2022 au 31 décembre 2023</b>,variable
9,Hernie fiscale,Comédie Saint-Martin,<b>Du 12 octobre 2023 au 31 mars 2024</b>,variable
10,Oublie-moi,Théâtre Actuel La Bruyère,<b>Du 29 août 2023 au 30 mars 2024</b>,variable
11,Le Malade imaginaire,Théâtre des Champs-Élysées,<b>Du 21 décembre 2023 au 7 janvier 2024</b>,variable
12,Dîner de famille,Café de la Gare,<b>Du 22 juin 2019 au 2 février 2025</b>,variable
13,Berlin Berlin,Théâtre Fontaine,<b>Du 7 septembre 2023 au 28 avril 2024</b>,variable
14,Un chapeau de paille d'Italie,Théâtre de la Porte Saint-Martin,<b>Du 27 septembre 2023 au 31 décembre 2023</b>,variable
15,Mes copains d'abord,Le Grand Point Virgule,<b>Du 2 juin 2023 au 30 avril 2024</b>,variable
16,Un chalet à Gstaad,Théâtre des Nouveautés,<b>Du 1 décembre 2023 au 28 janvier 2024</b>,variable
17,Changer l'eau des fleurs,Théâtre de la Renaissance,<b>Du 17 août 2023 au 7 janvier 2024</b>,variable
18,Les femmes ont toujours raison les hommes n'ont jamais tort,Théâtre Le Passage vers les Étoiles,<b>Du 17 septembre 2021 au 5 mai 2024</b>,variable
19,La Machine de Turing,Théâtre du Palais-Royal,<b>Du 18 août 2023 au 27 avril 2024</b>,variable
20,La Note,Théâtre des Bouffes Parisiens,<b>Du 21 septembre 2023 au 31 décembre 2023</b>,variable
21,L'Heure des assassins,Théâtre du Lucernaire,<b>Du 25 octobre 2023 au 21 janvier 2024</b>,variable
22,Cyrano de Bergerac,Comédie-Française - Salle Richelieu,<b>Du 8 décembre 2023 au 8 avril 2024</b>,variable
23,Pourquoi les femmes aiment les connards ?,La Grande Comédie,<b>Du 22 novembre 2023 au 31 mars 2024</b>,variable
24,Une bonne bière,Le Funambule Montmartre,<b>Du 19 octobre 2023 au 25 février 2024</b>,variable
25,Le Coucou,Théâtre Edgar,<b>Du 3 octobre 2023 au 14 mai 2024</b>,variable
26,Une journée particulière,Théâtre de l'Atelier,<b>Du 2 décembre 2023 au 31 décembre 2023</b>,variable
27,Révélations,Théâtre de Passy,<b>Du 25 novembre 2023 au 16 mars 2024</b>,variable
28,L'Amour chez les autres,Théâtre Édouard VII,<b>Du 18 janvier 2024 au 19 mai 2024</b>,variable
29,"Et pendant ce temps, Simone veille !",Comédie Bastille,<b>Du 13 mai 2017 au 30 juin 2024</b>,variable
30,Arsène Lupin,Théâtre du Lucernaire,<b>Du 8 novembre 2023 au 28 janvier 2024</b>,variable
31,Le Bracelet,Théâtre des Nouveautés,<b>Du 14 février 2024 au 5 mai 2024</b>,variable
32,Lapin,Théâtre Édouard VII,<b>Du 21 septembre 2023 au 6 janvier 2024</b>,variable
33,Le Cercle des poètes disparus,Théâtre Antoine,<b>Du 23 janvier 2024 au 31 mars 2024</b>,variable
34,Les gros patinent bien,Théâtre Saint-Georges,<b>Du 15 septembre 2023 au 24 février 2024</b>,variable
35,La Fontaine et le confinement,Théâtre Montparnasse,<b>Du 9 octobre 2023 au 4 mars 2024</b>,variable
36,Stars d'un soir,La Grande Comédie,<b>Du 19 octobre 2023 au 31 mars 2024</b>,variable
37,"C'est beau l'amour, mais ça part toujours en couilles !",La Comédie du Onzième,<b>Du 14 octobre 2022 au 3 mars 2024</b>,variable
38,Le Voyage de Gulliver,Athénée Théâtre Louis-Jouvet,<b>Du 21 décembre 2023 au 4 janvier 2024</b>,variable
39,Le Bourgeois gentilhomme,Comédie-Française - Salle Richelieu,<b>Du 17 novembre 2023 au 15 janvier 2024</b>,variable
40,"Kessel, la liberté à tout prix",Théâtre du Lucernaire,<b>Du 30 août 2023 au 7 janvier 2024</b>,variable
41,"Kessel, la liberté à tout prix",Théâtre Rive Gauche,<b>Du 12 janvier 2024 au 21 avril 2024</b>,variable
42,Moby Dick,Théâtre du Lucernaire,<b>Du 13 décembre 2023 au 3 mars 2024</b>,variable
43,Interruption,Théâtre Antoine,<b>Du 18 septembre 2023 au 13 février 2024</b>,variable
44,Les Téméraires,Comédie Bastille,<b>Du 7 septembre 2023 au 16 juin 2024</b>,variable
45,Un léger doute,Théâtre de la Renaissance,<b>Du 29 septembre 2023 au 7 janvier 2024</b>,variable
46,Toute l'histoire de la peinture en moins de deux heures,Le 13e Art,<b>Du 9 octobre 2023 au 3 juin 2024</b>,variable
47,Le Repas des fauves,Théâtre Hébertot,<b>Du 14 septembre 2023 au 29 février 2024</b>,variable
48,Le Horla,À la Folie Théâtre,<b>Du 16 novembre 2023 au 4 février 2024</b>,variable
49,Le Concierge,La Divine Comédie,<b>Du 23 septembre 2023 au 30 mars 2024</b>,variable
50,Piège pour un homme seul,Théâtre de la Michodière,<b>Du 14 septembre 2023 au 31 décembre 2023</b>,variable
51,"La Reine des neiges, l'histoire oubliée",Comédie-Française - Théâtre du Vieux-Colombier,<b>Du 22 novembre 2023 au 7 janvier 2024</b>,variable
52,La femme n'existe plus,Théâtre du Rond-Point,<b>Du 6 décembre 2023 au 31 décembre 2023</b>,variable
53,Bunker : Lettres de Magda Goebbels,Théâtre Tristan-Bernard,<b>Du 1 février 2024 au 28 mars 2024</b>,variable
54,Le Montespan,Théâtre Actuel La Bruyère,<b>Du 25 novembre 2023 au 4 février 2024</b>,variable
55,Farces et nouvelles de Tchekhov,Théâtre du Lucernaire,<b>Du 8 novembre 2023 au 7 janvier 2024</b>,variable
56,Ils se marièrent et eurent beaucoup… d'emmerdes,Théâtre Le Bourvil,<b>Du 1 octobre 2021 au 29 février 2024</b>,variable
57,L'Éducation sentimentale,Théâtre de Poche-Montparnasse,<b>Du 29 août 2023 au 3 mars 2024</b>,variable
58,Eldorado 1528,Théâtre Montparnasse,<b>Du 7 septembre 2023 au 31 décembre 2023</b>,variable
59,La Tendresse,Théâtre des Bouffes du Nord,<b>Du 6 décembre 2023 au 23 décembre 2023</b>,variable
60,Courageuses,Théâtre Antoine,<b>Du 8 novembre 2023 au 29 décembre 2023</b>,variable
61,Le Discours,Théâtre de la Renaissance,<b>Du 12 novembre 2023 au 31 décembre 2023</b>,variable
62,Smile,Théâtre de l'Œuvre,<b>Du 14 octobre 2023 au 23 décembre 2023</b>,variable
63,Smile,La Scala Paris,<b>Du 27 décembre 2023 au 31 décembre 2023</b>,variable
64,Vidéo club,Théâtre Antoine,<b>Du 14 septembre 2023 au 6 janvier 2024</b>,variable
65,Les Fourberies de Scapin,Espace Marais,<b>Du 30 septembre 2023 au 6 janvier 2024</b>,variable
66,Les Fourberies de Scapin,Comédie-Française - Salle Richelieu,<b>Du 3 février 2024 au 26 juin 2024</b>,variable
67,L'Argent de la vieille,Le Théâtre Libre,<b>Du 1 février 2024 au 5 mai 2024</b>,variable
68,Une histoire d'amour,Le Splendid,<b>Du 18 octobre 2023 au 21 janvier 2024</b>,variable
69,Passeport,Théâtre de la Renaissance,<b>Du 26 janvier 2024 au 30 juin 2024</b>,variable
70,Ruy Blas,Théâtre Marigny,<b>Du 27 septembre 2023 au 31 décembre 2023</b>,variable
71,Le Misanthrope,Comédie-Française - Salle Richelieu,<b>Du 22 décembre 2023 au 11 février 2024</b>,variable
72,Borderline,Théâtre de Passy,<b>Du 7 septembre 2023 au 31 décembre 2023</b>,variable
73,Big Mother,Théâtre des Béliers Parisiens,<b>Du 7 février 2023 au 31 mars 2024</b>,variable
74,Mais n’te promène donc pas toute nue,Espace Marais,<b>Du 16 décembre 2023 au 6 janvier 2024</b>,variable
75,Intra Muros,La Pépinière Théâtre,<b>Du 20 septembre 2022 au 5 mai 2024</b>,variable
76,La Guerre des sexes,Les Enfants du Paradis,<b>Du 29 septembre 2023 au 31 mars 2024</b>,variable
77,Les Crapauds fous,Le Splendid,<b>Du 27 janvier 2023 au 21 janvier 2024</b>,variable
78,Un homme qui boit,Le 13e Art,<b>Du 27 février 2024 au 31 mars 2024</b>,variable
79,Sacré Pan !,Théâtre des Variétés,<b>Du 26 janvier 2024 au 13 avril 2024</b>,variable
80,Bungalow 21,Théâtre de la Madeleine,<b>Du 14 septembre 2023 au 7 janvier 2024</b>,variable
81,Gargantua,Théâtre de Poche-Montparnasse,<b>Du 30 août 2023 au 24 décembre 2023</b>,variable
82,Ce soir ou jamais,Théâtre Mélo d'Amélie,<b>Du 1 juillet 2023 au 30 avril 2024</b>,variable
83,Sherlock Holmes et le mystère de la vallée de Boscombe,Le Grand Point Virgule,<b>Du 12 juin 2021 au 28 avril 2024</b>,variable
84,L'Effet miroir,Théâtre de l'Œuvre,<b>Du 12 octobre 2023 au 13 janvier 2024</b>,variable
85,Panique en coulisses,Théâtre des Variétés,<b>Du 27 septembre 2023 au 7 janvier 2024</b>,variable
86,Par ici la sortie,Théâtre Edgar,<b>Du 4 février 2023 au 11 mai 2024</b>,variable
87,Les Poupées persanes,La Pépinière Théâtre,<b>Du 14 septembre 2023 au 6 janvier 2024</b>,variable
88,Les Poupées persanes,La Pépinière Théâtre,<b>Du 16 mai 2024 au 13 juillet 2024</b>,variable
89,Mata Hari ou la justice des hommes,Théâtre Montparnasse,<b>Du 31 août 2023 au 31 décembre 2023</b>,variable
90,La Puce à l'oreille,Comédie-Française - Salle Richelieu,<b>Du 19 septembre 2023 au 1 janvier 2024</b>,variable
91,"Deux mains, la liberté",Studio Hébertot,<b>Du 14 octobre 2023 au 31 mars 2024</b>,variable
92,Biographie : un jeu,Théâtre Marigny,<b>Du 16 janvier 2024 au 17 mars 2024</b>,variable
93,Contes et légendes,Théâtre de la Porte Saint-Martin,<b>Du 10 janvier 2024 au 10 mars 2024</b>,variable
94,12 hommes en colère,Théâtre Hébertot,<b>Du 22 septembre 2023 au 28 janvier 2024</b>,variable
95,Maîtres anciens : Comédie,Théâtre 14,<b>Du 5 décembre 2023 au 23 décembre 2023</b>,variable
96,Bienvenue à la Caf,La Comédie du Onzième,<b>Du 26 décembre 2023 au 1 avril 2024</b>,variable
97,La Joconde parle enfin,Théâtre de l'Œuvre,<b>Du 15 février 2024 au 31 mars 2024</b>,variable
98,Le Comte de Monte-Cristo,Théâtre L'Essaïon,<b>Du 24 novembre 2023 au 25 février 2024</b>,variable
99,Coupures,Théâtre des Béliers Parisiens,<b>Du 25 août 2023 au 4 janvier 2024</b>,variable
100,Courgette,Théâtre Tristan-Bernard,<b>Du 25 août 2023 au 6 janvier 2024</b>,variable
101,Fabrice Luchini lit Victor Hugo,Théâtre de l'Atelier,<b>Du 22 octobre 2024 au 31 octobre 2024</b>,variable
102,L'Échange,Théâtre de Poche-Montparnasse,<b>Du 12 septembre 2023 au 31 décembre 2023</b>,variable
103,La Folle et Inconvenante Histoire des femmes,Le Funambule Montmartre,<b>Du 23 octobre 2023 au 30 janvier 2024</b>,variable
104,Lucrèce Borgia,Comédie-Française - Salle Richelieu,<b>Du 17 janvier 2024 au 1 avril 2024</b>,variable
105,Un pour tous,Café de la Gare,<b>Le 31 décembre 2023</b>,variable
106,Un pour tous,Les Enfants du Paradis,<b>Du 22 décembre 2023 au 5 janvier 2024</b>,variable
107,Jacques et Chirac,Théâtre de la Contrescarpe,<b>Du 16 août 2023 au 29 février 2024</b>,variable
108,Cyrano de Bergerac,Théâtre Ranelagh,<b>Du 26 octobre 2023 au 12 mai 2024</b>,variable
109,L'Os à moelle,Artistic Théâtre,<b>Du 21 octobre 2023 au 31 décembre 2023</b>,variable
110,Pour le meilleur et pour le dire,Café de la Gare,<b>Du 6 octobre 2023 au 28 janvier 2024</b>,variable
111,L'Incroyable Épopée de François 1er,Théâtre de la Contrescarpe,<b>Du 6 novembre 2023 au 26 février 2024</b>,variable
112,Geli,La Manufacture des Abbesses,<b>Du 26 novembre 2023 au 16 janvier 2024</b>,variable
113,La Chute,Théâtre de la Contrescarpe,<b>Du 11 septembre 2023 au 27 février 2024</b>,variable
114,Le Discours de la servitude volontaire,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 25 novembre 2023 au 23 décembre 2023</b>,variable
115,Je t'aime à l'italienne et à l'algérienne,La Divine Comédie,<b>Du 30 septembre 2023 au 7 janvier 2024</b>,variable
116,An Irish Story (une histoire irlandaise),Théâtre de Belleville,<b>Du 3 décembre 2023 au 30 janvier 2024</b>,variable
117,Un chapeau de paille d'Italie,Théâtre du Lucernaire,<b>Du 10 janvier 2024 au 17 mars 2024</b>,variable
118,Freud et la femme de chambre,Théâtre Montparnasse,<b>Du 20 janvier 2024 au 7 avril 2024</b>,variable
119,Le Tartuffe,Comédie Saint-Michel,<b>Du 9 décembre 2023 au 20 janvier 2024</b>,variable
120,Sherlock Holmes et l'aventure du diamant bleu,Le Grand Point Virgule,<b>Du 3 décembre 2021 au 27 avril 2024</b>,variable
121,Je me sens si bien chez vous,Théâtre des Blancs Manteaux,<b>Du 22 décembre 2023 au 29 mars 2024</b>,variable
122,Together,Théâtre de l'Atelier,<b>Du 16 janvier 2024 au 18 février 2024</b>,variable
123,Le Père Noël est une ordure,Théâtre du Gymnase,<b>Du 7 octobre 2023 au 6 janvier 2024</b>,variable
124,L'Enfant de verre,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 7 décembre 2023 au 23 décembre 2023</b>,variable
125,J'aime beaucoup ce que vous faites,Théâtre Mélo d'Amélie,<b>Du 1 septembre 2023 au 6 janvier 2024</b>,variable
126,Le Songe d'une nuit d'été,Théâtre de la Ville - Sarah Bernhardt,<b>Du 16 janvier 2024 au 10 février 2024</b>,variable
127,L'Antichambre,Théâtre Ranelagh,<b>Du 8 septembre 2023 au 14 janvier 2024</b>,variable
128,Le Silence,Comédie-Française - Théâtre du Vieux-Colombier,<b>Du 31 janvier 2024 au 10 mars 2024</b>,variable
129,L'Avare,Théâtre Ranelagh,<b>Du 22 octobre 2023 au 27 avril 2024</b>,variable
130,Les Quatre Sœurs March,Théâtre Ranelagh,<b>Du 19 janvier 2024 au 31 mars 2024</b>,variable
131,Juste un souvenir,Théâtre de Poche-Montparnasse,<b>Du 23 novembre 2023 au 14 janvier 2024</b>,variable
132,Les Desperate Housemen se marient !,Le Grand Point Virgule,<b>Du 15 septembre 2023 au 30 mars 2024</b>,variable
133,Ma version de l'histoire,Théâtre Michel,<b>Du 10 janvier 2024 au 30 mars 2024</b>,variable
134,Rose Valland : Sauver un peu de la beauté du monde,Théâtre La Boussole,<b>Du 19 octobre 2023 au 13 janvier 2024</b>,variable
135,La Cantatrice chauve,Théâtre de la Huchette,<b>Du 16 février 1957 au 13 juillet 2024</b>,variable
136,On a essayé de monter Hamlet,Théâtre Edgar,<b>Du 30 septembre 2023 au 11 mai 2024</b>,variable
137,Camus par Enthoven,Le Théâtre Libre,<b>Du 4 octobre 2023 au 5 février 2024</b>,variable
138,Culottées,Comédie-Française - Studio-Théâtre,<b>Du 25 janvier 2024 au 3 mars 2024</b>,variable
139,Sentinelles,Théâtre du Rond-Point,<b>Du 30 janvier 2024 au 10 février 2024</b>,variable
140,Les Entretiens d'embauche,Théâtre Le Bourvil,<b>Du 15 juin 2023 au 31 mars 2024</b>,variable
141,Ados,Le Grand Point Virgule,<b>Du 30 septembre 2023 au 26 mai 2024</b>,variable
142,Les Fous alliés,Théâtre du Marais,<b>Du 25 septembre 2023 au 29 janvier 2024</b>,variable
143,Le meilleur de l'homme c'est... sa femme,Théâtre Le Passage vers les Étoiles,<b>Du 1 juillet 2023 au 3 mars 2024</b>,variable
144,Vel d'Hiv,Théâtre Antoine,<b>Du 10 janvier 2024 au 18 février 2024</b>,variable
145,Le Vertige,Théâtre de la Madeleine,<b>Du 1 février 2024 au 10 mars 2024</b>,variable
146,Les Contes du chat perché : Le Chien,Comédie-Française - Studio-Théâtre,<b>Du 22 novembre 2023 au 7 janvier 2024</b>,variable
147,Ferme bien ta gueule,Théâtre Lepic,<b>Du 20 septembre 2023 au 7 janvier 2024</b>,variable
148,L'Odeur de la guerre,La Scala Paris,<b>Du 12 octobre 2023 au 17 mars 2024</b>,variable
149,L'Homme de ses rêves,Comédie Saint-Michel,<b>Du 8 septembre 2023 au 7 mai 2024</b>,variable
150,Gisèle Halimi : Une farouche liberté,La Scala Paris,<b>Du 27 février 2024 au 31 mars 2024</b>,variable
151,Le Quai,La Manufacture des Abbesses,<b>Du 30 novembre 2023 au 14 janvier 2024</b>,variable
152,Mondial placard,Théâtre Tristan-Bernard,<b>Du 19 janvier 2024 au 30 avril 2024</b>,variable
153,Le Plus Heureux des trois,Théâtre Edgar,<b>Du 22 janvier 2024 au 14 mai 2024</b>,variable
154,Cyrano,Le Théâtre Libre,<b>Du 16 janvier 2024 au 17 mars 2024</b>,variable
155,Hamlet,Odéon - Théâtre de l'Europe,<b>Du 5 mars 2024 au 14 avril 2024</b>,variable
156,Choisis la vie et tu vivras,Théâtre L'Essaïon,<b>Du 22 décembre 2023 au 2 mars 2024</b>,variable
157,Denali,Théâtre Marigny,<b>Du 17 novembre 2023 au 31 décembre 2023</b>,variable
158,L'Avare,Espace Marais,<b>Du 23 septembre 2023 au 6 janvier 2024</b>,variable
159,Les Délices du chocolat et puis… Venise,Comédie Italienne,<b>Du 14 octobre 2023 au 25 février 2024</b>,variable
160,Le jour où mon cactus a fleuri,Théâtre Le Bourvil,<b>Du 28 octobre 2023 au 31 mars 2024</b>,variable
161,"Les parents viennent de Mars, les enfants du Mc Do ! Chez Papa",Théâtre des Blancs Manteaux,<b>Du 6 août 2022 au 30 mars 2024</b>,variable
162,Le Nectar des dieux,Le Funambule Montmartre,<b>Du 9 novembre 2023 au 14 janvier 2024</b>,variable
163,Je suis la maman du bourreau,La Pépinière Théâtre,<b>Du 18 janvier 2024 au 4 mai 2024</b>,variable
164,Le portrait de Dorian Gray,Théâtre Ranelagh,<b>Du 21 octobre 2023 au 13 avril 2024</b>,variable
165,100% Marianne,Théâtre du Gymnase,<b>Du 3 décembre 2023 au 21 janvier 2024</b>,variable
166,"Je ne cours pas, je vole !",Comédie des Champs-Élysées,<b>Du 14 septembre 2023 au 30 décembre 2023</b>,variable
167,"Amour, sexe et plus si affinités !",La Comédie du Onzième,<b>Du 30 septembre 2023 au 2 février 2024</b>,variable
168,The Rosa Parks Story,Alhambra,<b>Le 31 mai 2024</b>,variable
169,Drôle d'Histoire de France,Théâtre Edgar,<b>Du 3 octobre 2023 au 21 janvier 2024</b>,variable
170,Le Neveu de Rameau,Théâtre Ranelagh,<b>Du 9 septembre 2023 au 14 janvier 2024</b>,variable
171,Les Chaises,Théâtre du Lucernaire,<b>Du 10 janvier 2024 au 10 mars 2024</b>,variable
172,Eurydice,Théâtre de Poche-Montparnasse,<b>Du 4 septembre 2023 au 4 mars 2024</b>,variable
173,Eva Rami : Va aimer !,Théâtre Lepic,<b>Du 26 septembre 2023 au 5 janvier 2024</b>,variable
174,Dialaw Project,Théâtre de la Ville - Les Abbesses,<b>Du 19 décembre 2023 au 23 décembre 2023</b>,variable
175,Désintégration,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 7 décembre 2023 au 23 décembre 2023</b>,variable
176,Dom Juan,Odéon - Théâtre de l'Europe,<b>Du 23 avril 2024 au 19 mai 2024</b>,variable
177,Mort à crédit,Théâtre de la Contrescarpe,<b>Du 1 octobre 2023 au 28 février 2024</b>,variable
178,Le Syndrome de l'oiseau,Théâtre du Petit Saint-Martin,<b>Du 23 janvier 2024 au 9 mars 2024</b>,variable
179,Premier Amour,Théâtre du Petit Saint-Martin,<b>Du 24 novembre 2023 au 30 décembre 2023</b>,variable
180,Une fille d'Ève,Guichet-Montparnasse,<b>Du 3 novembre 2023 au 28 janvier 2024</b>,variable
181,La Réunification des deux Corées,Théâtre de la Porte Saint-Martin,<b>Du 24 avril 2024 au 26 mai 2024</b>,variable
182,Bric à Brac,Théâtre La Croisée des Chemins,<b>Du 16 septembre 2023 au 30 décembre 2023</b>,variable
183,La Mouche,Théâtre des Bouffes du Nord,<b>Du 7 février 2024 au 25 février 2024</b>,variable
184,"Mozart, mon amour",Théâtre de Poche-Montparnasse,<b>Du 4 septembre 2023 au 4 mars 2024</b>,variable
185,Le Joueur d'échecs,Théâtre L'Essaïon,<b>Du 16 octobre 2023 au 30 janvier 2024</b>,variable
186,Le Cid,Théâtre Ranelagh,<b>Du 15 octobre 2023 au 20 avril 2024</b>,variable
187,Les Diaboliques,Théâtre de Poche-Montparnasse,<b>Du 16 janvier 2024 au 10 mars 2024</b>,variable
188,Jamais le deuxième soir !,Théâtre Mélo d'Amélie,<b>Du 12 janvier 2024 au 30 avril 2024</b>,variable
189,La Fontaine en fables et en notes,Théâtre de Poche-Montparnasse,<b>Du 18 septembre 2023 au 25 mars 2024</b>,variable
190,La Mouette,Théâtre de la Ville - Les Abbesses,<b>Du 31 janvier 2024 au 11 février 2024</b>,variable
191,La Cantatrice chauve + La Leçon,Théâtre de la Huchette,<b>Du 16 février 1957 au 13 juillet 2024</b>,variable
192,La Réponse des Hommes,Odéon - Ateliers Berthier,<b>Du 9 janvier 2024 au 20 janvier 2024</b>,variable
193,4211 km,Théâtre Marigny,<b>Du 10 janvier 2024 au 14 avril 2024</b>,variable
194,Orphelins,Théâtre de Belleville,<b>Du 3 décembre 2023 au 28 décembre 2023</b>,variable
195,Ce qu'il faudra laisser aux anges,Théâtre Lepic,<b>Du 15 octobre 2023 au 12 mai 2024</b>,variable
196,Quand je serai grande je serai Patrick Swayze,La Scala Paris,<b>Du 3 octobre 2023 au 27 décembre 2023</b>,variable
197,Zoé,Théâtre de Belleville,<b>Du 5 janvier 2024 au 29 février 2024</b>,variable
198,Frank Henry : Gangster ni fier ni honteux,La Nouvelle Ève,<b>Du 26 janvier 2024 au 30 mars 2024</b>,variable
199,La Leçon,Théâtre de la Huchette,<b>Du 18 février 1957 au 13 juillet 2024</b>,variable
