,nom,etablissement,Date,adresse,commune,prix
299,Je m’appelle Asher Lev,Théâtre des Béliers Parisiens,<b>Du 12 janvier 2024 au 29 février 2024</b>,14 bis rue Sainte-Isaure,Paris 18e,26-40 €
300,L'Arnaqueuse,Théâtre Mélo d'Amélie,<b>Du 13 septembre 2023 au 27 décembre 2023</b>,103 A boulevard Auguste-Blanqui,Paris 13e,11-29 €
301,Huis Clos,Laurette Théâtre,<b>Du 22 septembre 2023 au 19 mai 2024</b>,103 A boulevard Auguste-Blanqui,Paris 13e,16-24 €
302,Eccentric,La Nouvelle Ève,<b>Du 15 novembre 2023 au 27 décembre 2023</b>,103 A boulevard Auguste-Blanqui,Paris 13e,21-30 €
303,En Addicto,Théâtre de l'Aquarium - Cartoucherie,<b>Du 8 mars 2024 au 10 mars 2024</b>,103 A boulevard Auguste-Blanqui,Paris 13e,13-24 €
304,La Belle Histoire de Coline Serreau,Théâtre Michel,<b>Du 23 octobre 2023 au 25 mars 2024</b>,103 A boulevard Auguste-Blanqui,Paris 13e,12-39 €
305,Quand je serai un homme,Théâtre L'Essaïon,<b>Du 19 janvier 2024 au 13 avril 2024</b>,103 A boulevard Auguste-Blanqui,Paris 13e,11-28 €
306,J'accuse [France],Théâtre 13 - Bibliothèque,<b>Du 10 janvier 2024 au 20 janvier 2024</b>,103 A boulevard Auguste-Blanqui,Paris 13e,28 €
307,Stigmates de la gloire,À la Folie Théâtre,<b>Du 16 novembre 2023 au 3 février 2024</b>,103 A boulevard Auguste-Blanqui,Paris 13e,22-28 €
308,Leçons de philosophie drôles et très sérieuses,Théâtre de la Contrescarpe,<b>Du 4 octobre 2023 au 14 février 2024</b>,103 A boulevard Auguste-Blanqui,Paris 13e,12-22 €
309,Conversation intime : Catherine Frot,Théâtre Antoine,<b>Le 29 janvier 2024</b>,103 A boulevard Auguste-Blanqui,Paris 13e,16-28 €
310,Cache cache nerveux,Comédie Saint-Michel,<b>Du 9 septembre 2023 au 7 janvier 2024</b>,103 A boulevard Auguste-Blanqui,Paris 13e,22-29 €
311,Jours de joie,Odéon - Ateliers Berthier,<b>Du 20 avril 2024 au 5 mai 2024</b>,103 A boulevard Auguste-Blanqui,Paris 13e,unknown
312,Le Dictionnaire amoureux de l’inutile,La Scala Paris,<b>Du 18 mai 2024 au 1 juin 2024</b>,103 A boulevard Auguste-Blanqui,Paris 13e,15-36 €
313,Le Molière imaginaire,Théâtre du Soleil - Cartoucherie,<b>Du 16 janvier 2024 au 24 janvier 2024</b>,103 A boulevard Auguste-Blanqui,Paris 13e,16-22 €
314,Parpaing,Théâtre 13 - Glacière,<b>Du 24 janvier 2024 au 3 février 2024</b>,103 A boulevard Auguste-Blanqui,Paris 13e,28 €
315,Personne,Théâtre 14,<b>Du 9 janvier 2024 au 27 janvier 2024</b>,80 allée Darius-Milhaud,Paris 19e,11-28 €
316,Les Bonnes,Théâtre 14,<b>Du 27 février 2024 au 23 mars 2024</b>,80 allée Darius-Milhaud,Paris 19e,11-28 €
317,"Nora, Nora, Nora ! De l’influence des épouses sur les chefs-d’œuvre",Théâtre de la Tempête - Cartoucherie,<b>Du 1 mars 2024 au 31 mars 2024</b>,80 allée Darius-Milhaud,Paris 19e,11-26 €
318,L'Hôtel des sept,Comédie Saint-Michel,<b>Du 10 janvier 2024 au 3 mai 2024</b>,80 allée Darius-Milhaud,Paris 19e,22-35 €
319,Puisque tu pars,Théâtre L'Essaïon,<b>Du 24 janvier 2024 au 28 mars 2024</b>,80 allée Darius-Milhaud,Paris 19e,16-28 €
320,Les Paravents,Odéon - Théâtre de l'Europe,<b>Du 31 mai 2024 au 19 juin 2024</b>,80 allée Darius-Milhaud,Paris 19e,unknown
321,Petits silences gênés,Théâtre Darius Milhaud,<b>Du 2 février 2024 au 20 avril 2024</b>,80 allée Darius-Milhaud,Paris 19e,10-20 €
322,Pour un oui ou pour un non,Théâtre du Nord-Ouest,<b>Du 16 octobre 2023 au 29 décembre 2023</b>,80 allée Darius-Milhaud,Paris 19e,unknown
323,Music-Hall,Théâtre du Nord-Ouest,<b>Du 18 novembre 2023 au 1 janvier 2024</b>,80 allée Darius-Milhaud,Paris 19e,unknown
324,Rendez-vous à l'Élysée,Théâtre de Nesle,<b>Du 2 décembre 2023 au 20 janvier 2024</b>,80 allée Darius-Milhaud,Paris 19e,16 €
325,L'Ordinaire Histoire d'Ernest Boubouroche,Théâtre de Nesle,<b>Du 10 novembre 2023 au 31 décembre 2023</b>,80 allée Darius-Milhaud,Paris 19e,19 €
326,Le Marchand de Venise,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 15 mars 2024 au 31 mars 2024</b>,80 allée Darius-Milhaud,Paris 19e,11-24 €
327,"4,7% de liberté",Théâtre de la Ville - Les Abbesses,<b>Du 27 février 2024 au 2 mars 2024</b>,80 allée Darius-Milhaud,Paris 19e,unknown
328,Le Mariage de Figaro,Théâtre Ranelagh,<b>Du 24 octobre 2023 au 14 avril 2024</b>,80 allée Darius-Milhaud,Paris 19e,13-44 €
329,Je me suis perdue en chemin [pour toi],Théâtre Darius Milhaud,<b>Du 4 janvier 2024 au 11 avril 2024</b>,80 allée Darius-Milhaud,Paris 19e,13-20 €
330,Tout le temps du monde,La Colline - Théâtre national,<b>Du 30 janvier 2024 au 11 février 2024</b>,6 rue Pierre-au-Lard,Paris 4e,11-36 €
331,Backlash,Théâtre de Belleville,<b>Du 6 janvier 2024 au 31 mars 2024</b>,6 rue Pierre-au-Lard,Paris 4e,13-30 €
332,Pour un temps sois peu,Théâtre Paris-Villette,<b>Du 24 janvier 2024 au 3 février 2024</b>,6 rue Pierre-au-Lard,Paris 4e,14-26 €
333,Francis : Itinéraire d'un enfant raté,La Divine Comédie,<b>Du 8 janvier 2024 au 29 avril 2024</b>,6 rue Pierre-au-Lard,Paris 4e,17-22 €
334,Le Projet Marivaux,Guichet-Montparnasse,<b>Du 14 janvier 2024 au 31 mars 2024</b>,6 rue Pierre-au-Lard,Paris 4e,24 €
335,Le Deuxième Coup de feu,Théâtre Darius Milhaud,<b>Du 7 janvier 2024 au 18 février 2024</b>,6 rue Pierre-au-Lard,Paris 4e,13-20 €
336,Le Triomphe de l'amour,Théâtre du Nord-Ouest,<b>Du 13 mai 2023 au 27 décembre 2023</b>,6 rue Pierre-au-Lard,Paris 4e,unknown
337,Vertige (2001-2021),Théâtre Silvia Monfort,<b>Du 10 janvier 2024 au 13 janvier 2024</b>,6 rue Pierre-au-Lard,Paris 4e,11-29 €
338,Crécelle,Guichet-Montparnasse,<b>Du 4 janvier 2024 au 25 février 2024</b>,6 rue Pierre-au-Lard,Paris 4e,24 €
339,Showgirl,Théâtre de la Bastille,<b>Du 26 février 2024 au 9 mars 2024</b>,6 rue Pierre-au-Lard,Paris 4e,28 €
340,Love Addict,Théâtre Le Passage vers les Étoiles,<b>Du 20 octobre 2023 au 27 janvier 2024</b>,6 rue Pierre-au-Lard,Paris 4e,13-30 €
341,A l'ombre de mon tepee,La Petite Croisée des Chemins,<b>Du 11 novembre 2023 au 30 décembre 2023</b>,6 rue Pierre-au-Lard,Paris 4e,13-18 €
342,George Dandin ou le mari confondu,Théâtre Darius Milhaud,<b>Du 16 décembre 2023 au 17 février 2024</b>,6 rue Pierre-au-Lard,Paris 4e,13-15 €
343,Le Grand Jour,Théâtre de Belleville,<b>Du 4 février 2024 au 26 février 2024</b>,6 rue Pierre-au-Lard,Paris 4e,13-30 €
344,Macbeth,Théâtre L'Essaïon,<b>Du 4 avril 2024 au 15 juin 2024</b>,6 rue Pierre-au-Lard,Paris 4e,16-28 €
345,La Conférence de Charles Pépin : Vivre avec son passé,Théâtre de la Porte Saint-Martin,<b>Le 5 mars 2024</b>,16 passage Piver,Paris 11e,11-46 €
346,Prima Facie,Théâtre Montparnasse,<b>Du 17 janvier 2024 au 30 mars 2024</b>,16 passage Piver,Paris 11e,12-37 €
347,L'Événement,Théâtre de l'Atelier,<b>Du 13 février 2024 au 27 mars 2024</b>,16 passage Piver,Paris 11e,16-33 €
348,Rohtko,Odéon - Ateliers Berthier,<b>Du 31 janvier 2024 au 9 février 2024</b>,16 passage Piver,Paris 11e,31-40 €
349,Péplum médiéval,Le Centquatre (104),<b>Du 1 février 2024 au 3 février 2024</b>,16 passage Piver,Paris 11e,16-24 €
350,Être peintre,Théâtre 14,<b>Du 30 janvier 2024 au 10 février 2024</b>,16 passage Piver,Paris 11e,11-28 €
351,Toute nue,Théâtre de la Tempête - Cartoucherie,<b>Du 16 mai 2024 au 26 mai 2024</b>,16 passage Piver,Paris 11e,11-26 €
352,Le Misanthrope,Théâtre Montmartre Galabru,<b>Du 24 février 2024 au 27 avril 2024</b>,16 passage Piver,Paris 11e,15-22 €
353,Éventails et Médisances,Théâtre Pixel,<b>Du 15 décembre 2023 au 21 janvier 2024</b>,16 passage Piver,Paris 11e,unknown
354,"Les parents viennent de Mars, les enfants du McDo ! Chez Maman",Théâtre des Blancs Manteaux,<b>Du 23 octobre 2022 au 30 mars 2024</b>,16 passage Piver,Paris 11e,21-74 €
355,Second souffle,Le Funambule Montmartre,<b>Du 5 février 2024 au 23 avril 2024</b>,16 passage Piver,Paris 11e,11-33 €
356,Lights on Chaplin,Théâtre Montmartre Galabru,<b>Du 23 septembre 2023 au 13 janvier 2024</b>,16 passage Piver,Paris 11e,15-22 €
357,Avant la terreur,La Colline - Théâtre national,<b>Du 15 juin 2024 au 27 juin 2024</b>,16 passage Piver,Paris 11e,11-36 €
358,Media Vita,Théâtre de la Reine Blanche,<b>Du 10 janvier 2024 au 4 février 2024</b>,16 passage Piver,Paris 11e,11-28 €
359,Ceux qui se sont évaporés,Théâtre de Belleville,<b>Du 4 février 2024 au 27 février 2024</b>,16 passage Piver,Paris 11e,13-30 €
360,Diari d'amore,Athénée Théâtre Louis-Jouvet,<b>Du 6 juin 2024 au 16 juin 2024</b>,53 rue des Saules,Paris 18e,15-40 €
361,Finlandia,Théâtre des Bouffes du Nord,<b>Du 1 mars 2024 au 10 mars 2024</b>,53 rue des Saules,Paris 18e,35 €
362,Dieu ne fait rien pour les faibles,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 11 janvier 2024 au 28 janvier 2024</b>,53 rue des Saules,Paris 18e,11-24 €
363,Huit rois (nos présidents) : V. Giscard d'Estaing,Théâtre 13 - Glacière,<b>Du 13 juin 2024 au 28 juin 2024</b>,53 rue des Saules,Paris 18e,28 €
364,L'Art de ne pas dire,Théâtre Lepic,<b>Du 28 janvier 2024 au 2 avril 2024</b>,53 rue des Saules,Paris 18e,42 €
365,Les 7 nuits de la Reine,Théâtre L'Essaïon,<b>Du 25 septembre 2023 au 29 janvier 2024</b>,53 rue des Saules,Paris 18e,16-28 €
366,Metoo ?,Comédie des Trois Bornes,<b>Du 23 octobre 2023 au 29 janvier 2024</b>,53 rue des Saules,Paris 18e,15 €
367,La Mort d'Empédocle,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 6 février 2024 au 18 février 2024</b>,53 rue des Saules,Paris 18e,11-24 €
368,En scène monsieur Guitry,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 1 février 2024 au 11 février 2024</b>,53 rue des Saules,Paris 18e,11-24 €
369,Queen Kong,Théâtre La Croisée des Chemins,<b>Du 9 novembre 2023 au 29 décembre 2023</b>,53 rue des Saules,Paris 18e,13-22 €
370,Éric Chartier,Au Port du Salut,<b>Du 8 novembre 2023 au 26 juin 2024</b>,53 rue des Saules,Paris 18e,unknown
371,Le bar de l'oriental,Théâtre Montparnasse,<b>Du 7 février 2024 au 28 avril 2024</b>,53 rue des Saules,Paris 18e,14-49 €
372,Derrière les lignes ennemies,Théâtre du Rond-Point,<b>Du 23 janvier 2024 au 10 février 2024</b>,53 rue des Saules,Paris 18e,unknown
373,Fin de partie,Théâtre de l'Atelier,<b>Du 5 juin 2024 au 14 juillet 2024</b>,53 rue des Saules,Paris 18e,23-43 €
374,La Trajectoire des gamètes,Le Funambule Montmartre,<b>Du 4 octobre 2023 au 31 janvier 2024</b>,53 rue des Saules,Paris 18e,11-33 €
375,La Métamorphose des cigognes,La Pépinière Théâtre,<b>Du 27 janvier 2024 au 27 avril 2024</b>,15 rue Malte-Brun,Paris 20e,11-32 €
376,Terrasses,La Colline - Théâtre national,<b>Du 15 mai 2024 au 9 juin 2024</b>,15 rue Malte-Brun,Paris 20e,11-36 €
377,Julia,Théâtre Silvia Monfort,<b>Du 3 avril 2024 au 6 avril 2024</b>,15 rue Malte-Brun,Paris 20e,11-29 €
378,Le Journal intime d'Adam et Eve,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 29 février 2024 au 10 mars 2024</b>,15 rue Malte-Brun,Paris 20e,11-24 €
379,Splendeurs et misères,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 22 février 2024 au 10 mars 2024</b>,15 rue Malte-Brun,Paris 20e,11-24 €
380,Les Consolantes,Théâtre 13 - Bibliothèque,<b>Du 30 janvier 2024 au 9 février 2024</b>,15 rue Malte-Brun,Paris 20e,28 €
381,Les Vagues,Théâtre de la Tempête - Cartoucherie,<b>Du 16 mai 2024 au 26 mai 2024</b>,15 rue Malte-Brun,Paris 20e,11-26 €
382,Les Consolantes,L'Étoile du Nord,<b>Du 24 janvier 2024 au 26 janvier 2024</b>,15 rue Malte-Brun,Paris 20e,11 €
383,24 secondes,L'Étoile du Nord,<b>Du 19 avril 2024 au 21 avril 2024</b>,15 rue Malte-Brun,Paris 20e,11 €
384,Soirée prendre part - Nos intelligences,L'Étoile du Nord,<b>Le 16 mars 2024</b>,15 rue Malte-Brun,Paris 20e,6 €
385,Bérénice,Théâtre Darius Milhaud,<b>Du 10 janvier 2024 au 27 mars 2024</b>,15 rue Malte-Brun,Paris 20e,13-20 €
386,Juste un sourire,Théâtre Pixel,<b>Du 7 novembre 2023 au 26 décembre 2023</b>,15 rue Malte-Brun,Paris 20e,unknown
387,Thomas joue ses perruques (Deluxe Edition),Théâtre de l'Atelier,<b>Du 23 janvier 2024 au 1 février 2024</b>,15 rue Malte-Brun,Paris 20e,16-39 €
388,Le Coup de la panne,Théâtre du Marais,<b>Du 13 janvier 2024 au 30 mars 2024</b>,15 rue Malte-Brun,Paris 20e,16-22 €
389,Le Tigre bleu de l'Euphrate,La Colline - Théâtre national,<b>Du 24 mai 2024 au 16 juin 2024</b>,15 rue Malte-Brun,Paris 20e,11-36 €
390,L'Enfant brûlé,Odéon - Ateliers Berthier,<b>Du 27 février 2024 au 17 mars 2024</b>,2 bis passage Ruelle,Paris 18e,unknown
391,Hubris,Le Funambule Montmartre,<b>Du 18 janvier 2024 au 11 février 2024</b>,2 bis passage Ruelle,Paris 18e,11-33 €
392,Un état de nos vies,Théâtre du Rond-Point,<b>Du 21 mai 2024 au 31 mai 2024</b>,2 bis passage Ruelle,Paris 18e,34 €
393,Florence et Moustafa,Théâtre 14,<b>Du 9 septembre 2023 au 20 janvier 2024</b>,2 bis passage Ruelle,Paris 18e,unknown
394,Précisément par Hasard,Comédie Nation,<b>Du 23 novembre 2023 au 8 février 2024</b>,2 bis passage Ruelle,Paris 18e,16-22 €
395,Le Crédit,Théâtre L'Essaïon,<b>Du 11 septembre 2023 au 22 janvier 2024</b>,2 bis passage Ruelle,Paris 18e,13-28 €
396,"Rhinocéros, la nouvelle",Théâtre L'Essaïon,<b>Du 18 avril 2024 au 13 juin 2024</b>,2 bis passage Ruelle,Paris 18e,16-28 €
397,La Véritable Histoire de Dracula,Théâtre de la Tour Eiffel,<b>Du 4 février 2024 au 18 février 2024</b>,2 bis passage Ruelle,Paris 18e,13-42 €
398,King Kong Théorie,Théâtre Silvia Monfort,<b>Du 4 juin 2024 au 15 juin 2024</b>,2 bis passage Ruelle,Paris 18e,11-29 €
399,Kids,La Scala Paris,<b>Du 1 mars 2024 au 6 avril 2024</b>,2 bis passage Ruelle,Paris 18e,20-25 €
400,Entre-temps,Théâtre Pixel,,2 bis passage Ruelle,Paris 18e,unknown
401,La Loi du marcheur,Théâtre de la Bastille,<b>Du 3 mai 2024 au 29 mai 2024</b>,2 bis passage Ruelle,Paris 18e,28 €
402,À la recherche des canards perdus - Cartographie 1,Théâtre de l'Atelier,<b>Du 23 avril 2024 au 18 juin 2024</b>,2 bis passage Ruelle,Paris 18e,16-35 €
403,Oui,Odéon - Ateliers Berthier,<b>Du 24 mai 2024 au 15 juin 2024</b>,2 bis passage Ruelle,Paris 18e,unknown
404,J'ai si peu parlé ma propre langue,Théâtre de la Reine Blanche,<b>Du 11 janvier 2024 au 3 février 2024</b>,2 bis passage Ruelle,Paris 18e,11-28 €
405,Mémoire(s),Le Funambule Montmartre,<b>Du 9 janvier 2024 au 27 février 2024</b>,95 bd Saint-Michel,Paris 5e,11-33 €
406,Nom,Théâtre du Rond-Point,<b>Du 19 mars 2024 au 6 avril 2024</b>,95 bd Saint-Michel,Paris 5e,34 €
407,Tristesse et joie dans la vie des girafes,Théâtre du Rond-Point,<b>Du 23 février 2024 au 3 mars 2024</b>,95 bd Saint-Michel,Paris 5e,34 €
408,"Moi, Kadhafi",La Scala Paris,<b>Du 9 janvier 2024 au 21 janvier 2024</b>,95 bd Saint-Michel,Paris 5e,17-25 €
409,La nuit sera blanche,Théâtre de l'Aquarium - Cartoucherie,<b>Du 18 janvier 2024 au 27 janvier 2024</b>,95 bd Saint-Michel,Paris 5e,13-24 €
410,La Solitude des mues,Théâtre de la Tempête - Cartoucherie,<b>Du 13 janvier 2024 au 11 février 2024</b>,95 bd Saint-Michel,Paris 5e,11-26 €
411,Krach !,Le Mouffetard - Théâtre des arts de la marionnette,<b>Du 14 mars 2024 au 31 mars 2024</b>,95 bd Saint-Michel,Paris 5e,14-22 €
412,Des ombres et des armes,La Manufacture des Abbesses,<b>Du 18 janvier 2024 au 14 avril 2024</b>,95 bd Saint-Michel,Paris 5e,11-29 €
413,"Orgueil, poursuite et décapitation",Théâtre Clavel,<b>Du 13 décembre 2023 au 27 décembre 2023</b>,95 bd Saint-Michel,Paris 5e,unknown
414,Un homme qui dort,Théâtre L'Essaïon,<b>Du 23 novembre 2023 au 29 février 2024</b>,95 bd Saint-Michel,Paris 5e,16-28 €
415,Mille et une Layla,Théo Théâtre,<b>Du 18 octobre 2023 au 10 avril 2024</b>,95 bd Saint-Michel,Paris 5e,unknown
416,Thérapie,Théâtre Pixel,<b>Du 18 septembre 2023 au 17 juin 2024</b>,95 bd Saint-Michel,Paris 5e,unknown
417,Le Frigo,Théâtre Darius Milhaud,<b>Du 2 novembre 2023 au 28 décembre 2023</b>,95 bd Saint-Michel,Paris 5e,13-15 €
418,Un escalier pour la paix,Théâtre Darius Milhaud,<b>Du 6 décembre 2023 au 21 février 2024</b>,95 bd Saint-Michel,Paris 5e,13-15 €
419,La Fontaine à travers l'Histoire,Comédie Saint-Michel,<b>Du 1 juillet 2023 au 4 janvier 2024</b>,95 bd Saint-Michel,Paris 5e,22-29 €
420,Lettres à un jeune poète,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 14 mars 2024 au 24 mars 2024</b>,5 rue des Plâtrières,Paris 20e,11-24 €
421,Histoires d'amour improvisées,Comédie des Trois Bornes,<b>Du 7 janvier 2024 au 21 janvier 2024</b>,5 rue des Plâtrières,Paris 20e,15 €
422,Harvey,Théâtre de Nesle,<b>Du 5 janvier 2024 au 15 janvier 2024</b>,5 rue des Plâtrières,Paris 20e,16 €
423,Hortense Belhôte : Une histoire du football féminin,Chaillot – Théâtre National de la Danse,<b>Le 14 juin 2024</b>,5 rue des Plâtrières,Paris 20e,unknown
424,Ce qu'il faut dire,Théâtre de la Reine Blanche,<b>Du 21 février 2024 au 10 mars 2024</b>,5 rue des Plâtrières,Paris 20e,11-22 €
425,La beauté sauvera le Monde,Théâtre L'Essaïon,<b>Du 29 janvier 2024 au 19 mars 2024</b>,5 rue des Plâtrières,Paris 20e,13-22 €
426,Kevin,Théâtre du Rond-Point,<b>Du 23 avril 2024 au 11 mai 2024</b>,5 rue des Plâtrières,Paris 20e,34 €
427,Abysses,Le Centquatre (104),<b>Du 18 janvier 2024 au 20 janvier 2024</b>,5 rue des Plâtrières,Paris 20e,unknown
428,Item,Théâtre de l'Aquarium - Cartoucherie,<b>Du 15 mars 2024 au 24 mars 2024</b>,5 rue des Plâtrières,Paris 20e,13-24 €
429,Portrait d'une femme,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 8 février 2024 au 18 février 2024</b>,5 rue des Plâtrières,Paris 20e,11-24 €
430,Abysses,Théâtre 13 - Bibliothèque,<b>Du 28 février 2024 au 9 mars 2024</b>,5 rue des Plâtrières,Paris 20e,28 €
431,Farben,Le Mouffetard - Théâtre des arts de la marionnette,<b>Du 17 janvier 2024 au 27 janvier 2024</b>,5 rue des Plâtrières,Paris 20e,14-22 €
432,Nous étions la forêt,L'Étoile du Nord,<b>Le 27 janvier 2024</b>,5 rue des Plâtrières,Paris 20e,6 €
433,Le Portrait de Dorian Gray,Laurette Théâtre,<b>Du 13 janvier 2024 au 30 mars 2024</b>,5 rue des Plâtrières,Paris 20e,14-20 €
434,Futur,Les Plateaux sauvages,<b>Du 29 janvier 2024 au 10 février 2024</b>,5 rue des Plâtrières,Paris 20e,6-33 €
435,"Antigone II, Métro Charonne le 8 février 1962",Théâtre Mélo d'Amélie,<b>Du 24 septembre 2023 au 28 avril 2024</b>,80 allée Darius-Milhaud,Paris 19e,11-29 €
436,19.5 :  Le dix-neuvième en cinq actes,Théâtre L'Essaïon,<b>Du 15 novembre 2023 au 28 février 2024</b>,80 allée Darius-Milhaud,Paris 19e,13-28 €
437,Un mois à la campagne,Théâtre du Nord-Ouest,<b>À partir du  2 septembre 2021.</b>,80 allée Darius-Milhaud,Paris 19e,unknown
438,Le Pain de ménage,Théâtre du Nord-Ouest,<b>Du 12 mai 2023 au 2 janvier 2024</b>,80 allée Darius-Milhaud,Paris 19e,unknown
439,Michaël Louchart : Un père à aimer,La Divine Comédie,<b>Du 19 septembre 2023 au 24 avril 2024</b>,80 allée Darius-Milhaud,Paris 19e,15-28 €
440,Salomon Abramovski roi d'Angleterre !,Les Rendez-Vous d'Ailleurs,<b>Du 30 septembre 2023 au 31 décembre 2023</b>,80 allée Darius-Milhaud,Paris 19e,unknown
441,Les Possédés d'Illfurth,Théâtre du Rond-Point,<b>Du 14 mai 2024 au 1 juin 2024</b>,80 allée Darius-Milhaud,Paris 19e,34 €
442,Cavalières,La Colline - Théâtre national,<b>Du 5 mars 2024 au 31 mars 2024</b>,80 allée Darius-Milhaud,Paris 19e,11-36 €
443,Voyage d'un Arlequin contemporain,Théâtre L'Essaïon,<b>Du 13 janvier 2024 au 6 avril 2024</b>,80 allée Darius-Milhaud,Paris 19e,13-22 €
444,Fantômes,Théâtre de la Ville - Sarah Bernhardt,<b>Du 27 février 2024 au 9 mars 2024</b>,80 allée Darius-Milhaud,Paris 19e,unknown
445,La Tour de la défense,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 25 avril 2024 au 12 mai 2024</b>,80 allée Darius-Milhaud,Paris 19e,11-24 €
446,Jamais deux sans douze,Théâtre Douze,<b>Du 7 mars 2024 au 10 mars 2024</b>,80 allée Darius-Milhaud,Paris 19e,16 €
447,Inconnu à cette adresse,Théâtre Douze,<b>Du 25 avril 2024 au 5 mai 2024</b>,80 allée Darius-Milhaud,Paris 19e,16 €
448,ADN : Alexandra David-Néel,Théâtre de l'Île Saint-Louis,<b>Du 4 novembre 2023 au 23 décembre 2023</b>,80 allée Darius-Milhaud,Paris 19e,unknown
