Unnamed: 0;nom;etablissement;Date;adresse;commune;prix;Coordonnees
0;Tout va bien se passer;Comédie Saint-Martin;<b>Du 9 octobre 2023 au 31 mars 2024</b>;18 boulevard Saint-Martin;Paris 10e;11-76 €;(48.868965, 2.356716)
1;L'Embarras du choix;Théâtre de la Gaîté-Montparnasse;<b>Du 7 janvier 2022 au 30 juin 2024</b>;18 boulevard Saint-Martin;Paris 10e;22-71 €;(48.868965, 2.356716)
2;Chers parents;Théâtre de Paris;<b>Du 11 octobre 2023 au 25 février 2024</b>;18 boulevard Saint-Martin;Paris 10e;33-48 €;(48.868965, 2.356716)
3;Dernier coup de ciseaux;Théâtre des Mathurins;<b>Du 9 juin 2021 au 18 mai 2024</b>;18 boulevard Saint-Martin;Paris 10e;16-97 €;(48.868965, 2.356716)
4;Edmond;Théâtre du Palais-Royal;<b>Du 17 août 2023 au 15 juin 2024</b>;18 boulevard Saint-Martin;Paris 10e;20-104 €;(48.868965, 2.356716)
5;La Maison du loup;Théâtre Rive Gauche;<b>Du 14 septembre 2023 au 31 mars 2024</b>;18 boulevard Saint-Martin;Paris 10e;20-88 €;(48.868965, 2.356716)
6;C'est décidé, je deviens une connasse !;Comédie Oberkampf;<b>Du 15 septembre 2023 au 5 mai 2024</b>;18 boulevard Saint-Martin;Paris 10e;11-49 €;(48.868965, 2.356716)
7;Notre vie dans l'Art;Théâtre du Soleil - Cartoucherie;<b>Du 6 décembre 2023 au 3 mars 2024</b>;18 boulevard Saint-Martin;Paris 10e;16-39 €;(48.868965, 2.356716)
8;Une idée géniale;Théâtre Michel;<b>Du 19 août 2022 au 31 décembre 2023</b>;18 boulevard Saint-Martin;Paris 10e;49 €;(48.868965, 2.356716)
9;Hernie fiscale;Comédie Saint-Martin;<b>Du 12 octobre 2023 au 31 mars 2024</b>;18 boulevard Saint-Martin;Paris 10e;18-76 €;(48.868965, 2.356716)
10;Oublie-moi;Théâtre Actuel La Bruyère;<b>Du 29 août 2023 au 30 mars 2024</b>;18 boulevard Saint-Martin;Paris 10e;26-54 €;(48.868965, 2.356716)
11;Le Malade imaginaire;Théâtre des Champs-Élysées;<b>Du 21 décembre 2023 au 7 janvier 2024</b>;18 boulevard Saint-Martin;Paris 10e;16 €;(48.868965, 2.356716)
12;Dîner de famille;Café de la Gare;<b>Du 22 juin 2019 au 2 février 2025</b>;18 boulevard Saint-Martin;Paris 10e;18-29 €;(48.868965, 2.356716)
13;Berlin Berlin;Théâtre Fontaine;<b>Du 7 septembre 2023 au 28 avril 2024</b>;18 boulevard Saint-Martin;Paris 10e;24-53 €;(48.868965, 2.356716)
14;Un chapeau de paille d'Italie;Théâtre de la Porte Saint-Martin;<b>Du 27 septembre 2023 au 31 décembre 2023</b>;18 boulevard Saint-Martin;Paris 10e;15-48 €;(48.868965, 2.356716)
15;Mes copains d'abord;Le Grand Point Virgule;<b>Du 2 juin 2023 au 30 avril 2024</b>;5 rue Nicolas-Appert;Paris 11e;18-49 €;(48.858841, 2.370225)
16;Un chalet à Gstaad;Théâtre des Nouveautés;<b>Du 1 décembre 2023 au 28 janvier 2024</b>;5 rue Nicolas-Appert;Paris 11e;20-44 €;(48.858841, 2.370225)
17;Changer l'eau des fleurs;Théâtre de la Renaissance;<b>Du 17 août 2023 au 7 janvier 2024</b>;5 rue Nicolas-Appert;Paris 11e;15-54 €;(48.858841, 2.370225)
18;Les femmes ont toujours raison les hommes n'ont jamais tort;Théâtre Le Passage vers les Étoiles;<b>Du 17 septembre 2021 au 5 mai 2024</b>;5 rue Nicolas-Appert;Paris 11e;13-55 €;(48.858841, 2.370225)
19;La Machine de Turing;Théâtre du Palais-Royal;<b>Du 18 août 2023 au 27 avril 2024</b>;5 rue Nicolas-Appert;Paris 11e;14-79 €;(48.858841, 2.370225)
20;La Note;Théâtre des Bouffes Parisiens;<b>Du 21 septembre 2023 au 31 décembre 2023</b>;5 rue Nicolas-Appert;Paris 11e;unknown;(48.858841, 2.370225)
21;L'Heure des assassins;Théâtre du Lucernaire;<b>Du 25 octobre 2023 au 21 janvier 2024</b>;5 rue Nicolas-Appert;Paris 11e;unknown;(48.858841, 2.370225)
22;Cyrano de Bergerac;Comédie-Française - Salle Richelieu;<b>Du 8 décembre 2023 au 8 avril 2024</b>;5 rue Nicolas-Appert;Paris 11e;unknown;(48.858841, 2.370225)
23;Pourquoi les femmes aiment les connards ?;La Grande Comédie;<b>Du 22 novembre 2023 au 31 mars 2024</b>;5 rue Nicolas-Appert;Paris 11e;10-30 €;(48.858841, 2.370225)
24;Une bonne bière;Le Funambule Montmartre;<b>Du 19 octobre 2023 au 25 février 2024</b>;5 rue Nicolas-Appert;Paris 11e;11-33 €;(48.858841, 2.370225)
25;Le Coucou;Théâtre Edgar;<b>Du 3 octobre 2023 au 14 mai 2024</b>;5 rue Nicolas-Appert;Paris 11e;23-41 €;(48.858841, 2.370225)
26;Une journée particulière;Théâtre de l'Atelier;<b>Du 2 décembre 2023 au 31 décembre 2023</b>;5 rue Nicolas-Appert;Paris 11e;33-51 €;(48.858841, 2.370225)
27;Révélations;Théâtre de Passy;<b>Du 25 novembre 2023 au 16 mars 2024</b>;5 rue Nicolas-Appert;Paris 11e;14-46 €;(48.858841, 2.370225)
28;L'Amour chez les autres;Théâtre Édouard VII;<b>Du 18 janvier 2024 au 19 mai 2024</b>;5 rue Nicolas-Appert;Paris 11e;30-75 €;(48.858841, 2.370225)
29;Et pendant ce temps, Simone veille !;Comédie Bastille;<b>Du 13 mai 2017 au 30 juin 2024</b>;5 rue Nicolas-Appert;Paris 11e;13-64 €;(48.858841, 2.370225)
30;Arsène Lupin;Théâtre du Lucernaire;<b>Du 8 novembre 2023 au 28 janvier 2024</b>;5 rue Nicolas-Appert;Paris 11e;33-55 €;(48.858841, 2.370225)
31;Le Bracelet;Théâtre des Nouveautés;<b>Du 14 février 2024 au 5 mai 2024</b>;5 rue Nicolas-Appert;Paris 11e;20-79 €;(48.858841, 2.370225)
32;Lapin;Théâtre Édouard VII;<b>Du 21 septembre 2023 au 6 janvier 2024</b>;5 rue Nicolas-Appert;Paris 11e;15-120 €;(48.858841, 2.370225)
33;Le Cercle des poètes disparus;Théâtre Antoine;<b>Du 23 janvier 2024 au 31 mars 2024</b>;5 rue Nicolas-Appert;Paris 11e;22-79 €;(48.858841, 2.370225)
34;Les gros patinent bien;Théâtre Saint-Georges;<b>Du 15 septembre 2023 au 24 février 2024</b>;5 rue Nicolas-Appert;Paris 11e;24-66 €;(48.858841, 2.370225)
35;La Fontaine et le confinement;Théâtre Montparnasse;<b>Du 9 octobre 2023 au 4 mars 2024</b>;5 rue Nicolas-Appert;Paris 11e;unknown;(48.858841, 2.370225)
36;Stars d'un soir;La Grande Comédie;<b>Du 19 octobre 2023 au 31 mars 2024</b>;5 rue Nicolas-Appert;Paris 11e;14-98 €;(48.858841, 2.370225)
37;C'est beau l'amour, mais ça part toujours en couilles !;La Comédie du Onzième;<b>Du 14 octobre 2022 au 3 mars 2024</b>;5 rue Nicolas-Appert;Paris 11e;14-39 €;(48.858841, 2.370225)
38;Le Voyage de Gulliver;Athénée Théâtre Louis-Jouvet;<b>Du 21 décembre 2023 au 4 janvier 2024</b>;5 rue Nicolas-Appert;Paris 11e;15-40 €;(48.858841, 2.370225)
39;Le Bourgeois gentilhomme;Comédie-Française - Salle Richelieu;<b>Du 17 novembre 2023 au 15 janvier 2024</b>;5 rue Nicolas-Appert;Paris 11e;unknown;(48.858841, 2.370225)
40;Kessel, la liberté à tout prix;Théâtre du Lucernaire;<b>Du 30 août 2023 au 7 janvier 2024</b>;5 rue Nicolas-Appert;Paris 11e;unknown;(48.858841, 2.370225)
41;Kessel, la liberté à tout prix;Théâtre Rive Gauche;<b>Du 12 janvier 2024 au 21 avril 2024</b>;5 rue Nicolas-Appert;Paris 11e;15-31 €;(48.858841, 2.370225)
42;Moby Dick;Théâtre du Lucernaire;<b>Du 13 décembre 2023 au 3 mars 2024</b>;5 rue Nicolas-Appert;Paris 11e;16-55 €;(48.858841, 2.370225)
43;Interruption;Théâtre Antoine;<b>Du 18 septembre 2023 au 13 février 2024</b>;5 rue Nicolas-Appert;Paris 11e;21-50 €;(48.858841, 2.370225)
44;Les Téméraires;Comédie Bastille;<b>Du 7 septembre 2023 au 16 juin 2024</b>;5 rue Nicolas-Appert;Paris 11e;13-64 €;(48.858841, 2.370225)
45;Un léger doute;Théâtre de la Renaissance;<b>Du 29 septembre 2023 au 7 janvier 2024</b>;37 bis bd de la Chapelle;Paris 10e;16-89 €;(48.884177, 2.358623)
46;Toute l'histoire de la peinture en moins de deux heures;Le 13e Art;<b>Du 9 octobre 2023 au 3 juin 2024</b>;37 bis bd de la Chapelle;Paris 10e;16-68 €;(48.884177, 2.358623)
47;Le Repas des fauves;Théâtre Hébertot;<b>Du 14 septembre 2023 au 29 février 2024</b>;37 bis bd de la Chapelle;Paris 10e;15-55 €;(48.884177, 2.358623)
48;Le Horla;À la Folie Théâtre;<b>Du 16 novembre 2023 au 4 février 2024</b>;37 bis bd de la Chapelle;Paris 10e;22-39 €;(48.884177, 2.358623)
49;Le Concierge;La Divine Comédie;<b>Du 23 septembre 2023 au 30 mars 2024</b>;37 bis bd de la Chapelle;Paris 10e;17-22 €;(48.884177, 2.358623)
50;Piège pour un homme seul;Théâtre de la Michodière;<b>Du 14 septembre 2023 au 31 décembre 2023</b>;37 bis bd de la Chapelle;Paris 10e;26-71 €;(48.884177, 2.358623)
51;La Reine des neiges, l'histoire oubliée;Comédie-Française - Théâtre du Vieux-Colombier;<b>Du 22 novembre 2023 au 7 janvier 2024</b>;37 bis bd de la Chapelle;Paris 10e;37 €;(48.884177, 2.358623)
52;La femme n'existe plus;Théâtre du Rond-Point;<b>Du 6 décembre 2023 au 31 décembre 2023</b>;37 bis bd de la Chapelle;Paris 10e;17-34 €;(48.884177, 2.358623)
53;Bunker : Lettres de Magda Goebbels;Théâtre Tristan-Bernard;<b>Du 1 février 2024 au 28 mars 2024</b>;37 bis bd de la Chapelle;Paris 10e;31-39 €;(48.884177, 2.358623)
54;Le Montespan;Théâtre Actuel La Bruyère;<b>Du 25 novembre 2023 au 4 février 2024</b>;37 bis bd de la Chapelle;Paris 10e;26-73 €;(48.884177, 2.358623)
55;Farces et nouvelles de Tchekhov;Théâtre du Lucernaire;<b>Du 8 novembre 2023 au 7 janvier 2024</b>;37 bis bd de la Chapelle;Paris 10e;33-55 €;(48.884177, 2.358623)
56;Ils se marièrent et eurent beaucoup… d'emmerdes;Théâtre Le Bourvil;<b>Du 1 octobre 2021 au 29 février 2024</b>;37 bis bd de la Chapelle;Paris 10e;13-41 €;(48.884177, 2.358623)
57;L'Éducation sentimentale;Théâtre de Poche-Montparnasse;<b>Du 29 août 2023 au 3 mars 2024</b>;37 bis bd de la Chapelle;Paris 10e;24-31 €;(48.884177, 2.358623)
58;Eldorado 1528;Théâtre Montparnasse;<b>Du 7 septembre 2023 au 31 décembre 2023</b>;37 bis bd de la Chapelle;Paris 10e;15-35 €;(48.884177, 2.358623)
59;La Tendresse;Théâtre des Bouffes du Nord;<b>Du 6 décembre 2023 au 23 décembre 2023</b>;37 bis bd de la Chapelle;Paris 10e;unknown;(48.884177, 2.358623)
60;Courageuses;Théâtre Antoine;<b>Du 8 novembre 2023 au 29 décembre 2023</b>;22 rue Beautreillis;Paris 4e;21-50 €;(48.853412, 2.364236)
61;Le Discours;Théâtre de la Renaissance;<b>Du 12 novembre 2023 au 31 décembre 2023</b>;22 rue Beautreillis;Paris 4e;10-54 €;(48.853412, 2.364236)
62;Smile;Théâtre de l'Œuvre;<b>Du 14 octobre 2023 au 23 décembre 2023</b>;22 rue Beautreillis;Paris 4e;15-36 €;(48.853412, 2.364236)
63;Smile;La Scala Paris;<b>Du 27 décembre 2023 au 31 décembre 2023</b>;22 rue Beautreillis;Paris 4e;15-39 €;(48.853412, 2.364236)
64;Vidéo club;Théâtre Antoine;<b>Du 14 septembre 2023 au 6 janvier 2024</b>;22 rue Beautreillis;Paris 4e;22-119 €;(48.853412, 2.364236)
65;Les Fourberies de Scapin;Espace Marais;<b>Du 30 septembre 2023 au 6 janvier 2024</b>;22 rue Beautreillis;Paris 4e;13-37 €;(48.853412, 2.364236)
66;Les Fourberies de Scapin;Comédie-Française - Salle Richelieu;<b>Du 3 février 2024 au 26 juin 2024</b>;22 rue Beautreillis;Paris 4e;unknown;(48.853412, 2.364236)
67;L'Argent de la vieille;Le Théâtre Libre;<b>Du 1 février 2024 au 5 mai 2024</b>;22 rue Beautreillis;Paris 4e;26-71 €;(48.853412, 2.364236)
68;Une histoire d'amour;Le Splendid;<b>Du 18 octobre 2023 au 21 janvier 2024</b>;22 rue Beautreillis;Paris 4e;23-53 €;(48.853412, 2.364236)
69;Passeport;Théâtre de la Renaissance;<b>Du 26 janvier 2024 au 30 juin 2024</b>;22 rue Beautreillis;Paris 4e;20-66 €;(48.853412, 2.364236)
70;Ruy Blas;Théâtre Marigny;<b>Du 27 septembre 2023 au 31 décembre 2023</b>;22 rue Beautreillis;Paris 4e;22-70 €;(48.853412, 2.364236)
71;Le Misanthrope;Comédie-Française - Salle Richelieu;<b>Du 22 décembre 2023 au 11 février 2024</b>;22 rue Beautreillis;Paris 4e;unknown;(48.853412, 2.364236)
72;Borderline;Théâtre de Passy;<b>Du 7 septembre 2023 au 31 décembre 2023</b>;22 rue Beautreillis;Paris 4e;15-42 €;(48.853412, 2.364236)
73;Big Mother;Théâtre des Béliers Parisiens;<b>Du 7 février 2023 au 31 mars 2024</b>;22 rue Beautreillis;Paris 4e;40-44 €;(48.853412, 2.364236)
74;Mais n’te promène donc pas toute nue;Espace Marais;<b>Du 16 décembre 2023 au 6 janvier 2024</b>;22 rue Beautreillis;Paris 4e;13-37 €;(48.853412, 2.364236)
75;Intra Muros;La Pépinière Théâtre;<b>Du 20 septembre 2022 au 5 mai 2024</b>;31 rue de la Gaité;Paris 14e;22-53 €;(48.839499, 2.323534)
76;La Guerre des sexes;Les Enfants du Paradis;<b>Du 29 septembre 2023 au 31 mars 2024</b>;31 rue de la Gaité;Paris 14e;19-40 €;(48.839499, 2.323534)
77;Les Crapauds fous;Le Splendid;<b>Du 27 janvier 2023 au 21 janvier 2024</b>;31 rue de la Gaité;Paris 14e;26-62 €;(48.839499, 2.323534)
78;Un homme qui boit;Le 13e Art;<b>Du 27 février 2024 au 31 mars 2024</b>;31 rue de la Gaité;Paris 14e;33-63 €;(48.839499, 2.323534)
79;Sacré Pan !;Théâtre des Variétés;<b>Du 26 janvier 2024 au 13 avril 2024</b>;31 rue de la Gaité;Paris 14e;22-57 €;(48.839499, 2.323534)
80;Bungalow 21;Théâtre de la Madeleine;<b>Du 14 septembre 2023 au 7 janvier 2024</b>;31 rue de la Gaité;Paris 14e;20-88 €;(48.839499, 2.323534)
81;Gargantua;Théâtre de Poche-Montparnasse;<b>Du 30 août 2023 au 24 décembre 2023</b>;31 rue de la Gaité;Paris 14e;24 €;(48.839499, 2.323534)
82;Ce soir ou jamais;Théâtre Mélo d'Amélie;<b>Du 1 juillet 2023 au 30 avril 2024</b>;31 rue de la Gaité;Paris 14e;11-40 €;(48.839499, 2.323534)
83;Sherlock Holmes et le mystère de la vallée de Boscombe;Le Grand Point Virgule;<b>Du 12 juin 2021 au 28 avril 2024</b>;31 rue de la Gaité;Paris 14e;33 €;(48.839499, 2.323534)
84;L'Effet miroir;Théâtre de l'Œuvre;<b>Du 12 octobre 2023 au 13 janvier 2024</b>;31 rue de la Gaité;Paris 14e;18-46 €;(48.839499, 2.323534)
85;Panique en coulisses;Théâtre des Variétés;<b>Du 27 septembre 2023 au 7 janvier 2024</b>;31 rue de la Gaité;Paris 14e;15-113 €;(48.839499, 2.323534)
86;Par ici la sortie;Théâtre Edgar;<b>Du 4 février 2023 au 11 mai 2024</b>;31 rue de la Gaité;Paris 14e;13-39 €;(48.839499, 2.323534)
87;Les Poupées persanes;La Pépinière Théâtre;<b>Du 14 septembre 2023 au 6 janvier 2024</b>;31 rue de la Gaité;Paris 14e;33-70 €;(48.839499, 2.323534)
88;Les Poupées persanes;La Pépinière Théâtre;<b>Du 16 mai 2024 au 13 juillet 2024</b>;31 rue de la Gaité;Paris 14e;22-53 €;(48.839499, 2.323534)
89;Mata Hari ou la justice des hommes;Théâtre Montparnasse;<b>Du 31 août 2023 au 31 décembre 2023</b>;31 rue de la Gaité;Paris 14e;12-40 €;(48.839499, 2.323534)
90;La Puce à l'oreille;Comédie-Française - Salle Richelieu;<b>Du 19 septembre 2023 au 1 janvier 2024</b>;place Colette;Paris 1er;unknown;(48.863335, 2.336271)
91;Deux mains, la liberté;Studio Hébertot;<b>Du 14 octobre 2023 au 31 mars 2024</b>;place Colette;Paris 1er;16-22 €;(48.863335, 2.336271)
92;Biographie : un jeu;Théâtre Marigny;<b>Du 16 janvier 2024 au 17 mars 2024</b>;place Colette;Paris 1er;20-69 €;(48.863335, 2.336271)
93;Contes et légendes;Théâtre de la Porte Saint-Martin;<b>Du 10 janvier 2024 au 10 mars 2024</b>;place Colette;Paris 1er;29-51 €;(48.863335, 2.336271)
94;12 hommes en colère;Théâtre Hébertot;<b>Du 22 septembre 2023 au 28 janvier 2024</b>;place Colette;Paris 1er;15-42 €;(48.863335, 2.336271)
95;Maîtres anciens : Comédie;Théâtre 14;<b>Du 5 décembre 2023 au 23 décembre 2023</b>;place Colette;Paris 1er;unknown;(48.863335, 2.336271)
96;Bienvenue à la Caf;La Comédie du Onzième;<b>Du 26 décembre 2023 au 1 avril 2024</b>;place Colette;Paris 1er;10-20 €;(48.863335, 2.336271)
97;La Joconde parle enfin;Théâtre de l'Œuvre;<b>Du 15 février 2024 au 31 mars 2024</b>;place Colette;Paris 1er;9-43 €;(48.863335, 2.336271)
98;Le Comte de Monte-Cristo;Théâtre L'Essaïon;<b>Du 24 novembre 2023 au 25 février 2024</b>;place Colette;Paris 1er;11-28 €;(48.863335, 2.336271)
99;Coupures;Théâtre des Béliers Parisiens;<b>Du 25 août 2023 au 4 janvier 2024</b>;place Colette;Paris 1er;22-40 €;(48.863335, 2.336271)
100;Courgette;Théâtre Tristan-Bernard;<b>Du 25 août 2023 au 6 janvier 2024</b>;place Colette;Paris 1er;33-42 €;(48.863335, 2.336271)
101;Fabrice Luchini lit Victor Hugo;Théâtre de l'Atelier;<b>Du 22 octobre 2024 au 31 octobre 2024</b>;place Colette;Paris 1er;unknown;(48.863335, 2.336271)
102;L'Échange;Théâtre de Poche-Montparnasse;<b>Du 12 septembre 2023 au 31 décembre 2023</b>;place Colette;Paris 1er;28 €;(48.863335, 2.336271)
103;La Folle et Inconvenante Histoire des femmes;Le Funambule Montmartre;<b>Du 23 octobre 2023 au 30 janvier 2024</b>;place Colette;Paris 1er;11-33 €;(48.863335, 2.336271)
104;Lucrèce Borgia;Comédie-Française - Salle Richelieu;<b>Du 17 janvier 2024 au 1 avril 2024</b>;place Colette;Paris 1er;unknown;(48.863335, 2.336271)
105;Un pour tous;Café de la Gare;<b>Le 31 décembre 2023</b>;95 bd Saint-Michel;Paris 5e;29 €;(48.844567, 2.339549)
106;Un pour tous;Les Enfants du Paradis;<b>Du 22 décembre 2023 au 5 janvier 2024</b>;95 bd Saint-Michel;Paris 5e;22-33 €;(48.844567, 2.339549)
107;Jacques et Chirac;Théâtre de la Contrescarpe;<b>Du 16 août 2023 au 29 février 2024</b>;95 bd Saint-Michel;Paris 5e;12-37 €;(48.844567, 2.339549)
108;Cyrano de Bergerac;Théâtre Ranelagh;<b>Du 26 octobre 2023 au 12 mai 2024</b>;95 bd Saint-Michel;Paris 5e;13-44 €;(48.844567, 2.339549)
109;L'Os à moelle;Artistic Théâtre;<b>Du 21 octobre 2023 au 31 décembre 2023</b>;95 bd Saint-Michel;Paris 5e;16-50 €;(48.844567, 2.339549)
110;Pour le meilleur et pour le dire;Café de la Gare;<b>Du 6 octobre 2023 au 28 janvier 2024</b>;95 bd Saint-Michel;Paris 5e;18-29 €;(48.844567, 2.339549)
111;L'Incroyable Épopée de François 1er;Théâtre de la Contrescarpe;<b>Du 6 novembre 2023 au 26 février 2024</b>;95 bd Saint-Michel;Paris 5e;12-37 €;(48.844567, 2.339549)
112;Geli;La Manufacture des Abbesses;<b>Du 26 novembre 2023 au 16 janvier 2024</b>;95 bd Saint-Michel;Paris 5e;11-29 €;(48.844567, 2.339549)
113;La Chute;Théâtre de la Contrescarpe;<b>Du 11 septembre 2023 au 27 février 2024</b>;95 bd Saint-Michel;Paris 5e;12-33 €;(48.844567, 2.339549)
114;Le Discours de la servitude volontaire;Théâtre de l'Épée de Bois - Cartoucherie;<b>Du 25 novembre 2023 au 23 décembre 2023</b>;95 bd Saint-Michel;Paris 5e;11-24 €;(48.844567, 2.339549)
115;Je t'aime à l'italienne et à l'algérienne;La Divine Comédie;<b>Du 30 septembre 2023 au 7 janvier 2024</b>;95 bd Saint-Michel;Paris 5e;18-42 €;(48.844567, 2.339549)
116;An Irish Story (une histoire irlandaise);Théâtre de Belleville;<b>Du 3 décembre 2023 au 30 janvier 2024</b>;95 bd Saint-Michel;Paris 5e;unknown;(48.844567, 2.339549)
117;Un chapeau de paille d'Italie;Théâtre du Lucernaire;<b>Du 10 janvier 2024 au 17 mars 2024</b>;95 bd Saint-Michel;Paris 5e;16-33 €;(48.844567, 2.339549)
118;Freud et la femme de chambre;Théâtre Montparnasse;<b>Du 20 janvier 2024 au 7 avril 2024</b>;95 bd Saint-Michel;Paris 5e;16-60 €;(48.844567, 2.339549)
119;Le Tartuffe;Comédie Saint-Michel;<b>Du 9 décembre 2023 au 20 janvier 2024</b>;95 bd Saint-Michel;Paris 5e;18-46 €;(48.844567, 2.339549)
